IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,IP_SRC_ADDR,IP_DST_ADDR,PROTOCOL,L4_SRC_PORT,L4_DST_PORT,TOS,DST_TOS,TCP_FLAGS,start_time,end_time,src_region,dst_region,src_group,dst_group,area,FLOW_SAMPLER_ID,user_scope
104000,2000,0,0,45.76.181.36,220.196.214.152,6,28089,7275,0,0,16,2025-02-10 22:56:04,2025-02-10 22:56:04,0,310000,99,3,,,1
104000,2000,0,0,220.196.214.152,45.76.181.36,6,7275,28089,0,0,16,2025-02-10 19:20:27,2025-02-10 19:20:27,310000,0,3,99,310000,,1
314000,2000,0,0,45.76.181.36,220.196.214.152,6,28089,7275,0,0,24,2025-02-10 19:09:44,2025-02-10 19:09:44,0,310000,99,3,,,1
3000000,2000,0,0,45.76.181.36,220.196.214.152,6,9998,5806,0,0,16,2025-02-10 19:03:57,2025-02-10 19:03:57,0,310000,99,3,,,1
508000,2000,0,0,116.128.209.135,45.76.181.36,6,3474,28089,0,0,24,2025-02-10 13:38:31,2025-02-10 13:38:31,310000,0,3,99,310000,,1
12000000,8000,0,0,45.76.181.36,116.128.209.135,6,9998,4989,0,0,24,2025-02-10 18:42:21,2025-02-10 18:42:40,0,310000,99,3,,,1
192000,2000,0,0,116.130.244.174,45.76.181.36,6,55793,55558,0,0,24,2025-02-10 19:24:29,2025-02-10 19:24:29,120000,0,3,99,120000,,1
90000,1000,0,0,45.76.181.36,116.130.244.174,6,22,63263,0,0,24,2025-02-10 13:59:07,2025-02-10 13:59:07,0,120000,99,3,120000,,1
106000,2000,0,0,45.76.181.36,116.128.209.135,6,9999,3034,0,0,24,2025-02-10 17:15:33,2025-02-10 17:15:33,0,310000,99,3,,,1
80000,2000,0,0,45.76.181.36,116.130.244.174,6,55558,55136,0,0,20,2025-02-10 18:51:36,2025-02-10 18:51:36,0,120000,99,3,440000,,1
12000000,8000,0,0,45.76.181.36,116.128.209.135,6,9998,4981,0,0,24,2025-02-10 13:35:17,2025-02-10 13:35:17,0,310000,99,3,,,1
106000,2000,0,0,116.128.209.135,45.76.181.36,6,3034,9999,0,0,24,2025-02-10 18:36:08,2025-02-10 18:36:08,310000,0,3,99,310000,,1
3000000,2000,0,0,45.76.181.36,220.196.214.152,6,9998,5805,0,0,16,2025-02-10 18:56:40,2025-02-10 18:56:40,0,310000,99,3,,,1
170000,1000,0,0,45.76.181.36,116.130.244.174,6,22,55144,0,0,24,2025-02-10 18:27:04,2025-02-10 18:27:04,0,120000,99,3,120000,,1
60000,1000,0,0,45.76.181.36,116.130.244.174,6,22,63263,0,0,16,2025-02-10 19:24:33,2025-02-10 19:24:33,0,120000,99,3,120000,,1
156000,2000,0,0,116.130.244.174,45.76.181.36,6,55793,55558,0,0,24,2025-02-10 19:20:53,2025-02-10 19:20:53,120000,0,3,99,120000,,1
128000,2000,0,0,220.196.214.152,45.76.181.36,6,5805,9998,0,0,16,2025-02-10 18:57:11,2025-02-10 18:57:11,310000,0,3,99,310000,,1
104000,2000,0,0,45.76.181.36,116.128.209.135,6,9999,3034,0,0,16,2025-02-10 18:23:47,2025-02-10 18:23:47,0,310000,99,3,,,1
66000,1000,0,0,45.76.181.36,116.128.209.135,6,28089,3474,0,0,16,2025-02-10 16:45:44,2025-02-10 16:45:44,0,310000,99,3,310000,,1
296000,4000,0,0,116.128.209.135,45.76.181.36,6,4989,9998,0,0,16,2025-02-10 18:42:21,2025-02-10 18:43:08,310000,0,3,99,310000,,1
6056000,4000,0,0,45.76.181.36,220.196.214.152,6,9998,5805,0,0,16,2025-02-10 18:58:56,2025-02-10 18:59:24,0,310000,99,3,310000,,1
60000,1000,0,0,45.76.181.36,116.130.244.174,6,55557,61971,0,0,16,2025-02-10 14:30:35,2025-02-10 14:30:35,0,120000,99,3,120000,,1
104000,2000,0,0,116.128.209.135,45.76.181.36,6,4989,9998,0,0,16,2025-02-10 18:43:11,2025-02-10 18:43:11,310000,0,3,99,310000,,1
80000,2000,0,0,45.76.181.36,116.130.244.174,6,22,55144,0,0,16,2025-02-10 17:12:29,2025-02-10 17:12:29,0,120000,99,3,,,1
194000,1000,0,0,116.128.209.135,45.76.181.36,6,3474,28089,0,0,24,2025-02-10 13:45:12,2025-02-10 13:45:12,310000,0,3,99,310000,,1
66000,1000,0,0,116.128.209.135,45.76.181.36,6,4985,9998,0,0,16,2025-02-10 15:14:15,2025-02-10 15:14:15,310000,0,3,99,310000,,1
86000,1000,0,0,45.76.181.36,116.130.244.174,6,55557,60572,0,0,24,2025-02-10 13:24:01,2025-02-10 13:24:01,0,120000,99,3,120000,,1
61000,1000,0,0,45.76.181.36,116.130.244.174,6,55557,60572,0,0,24,2025-02-10 13:20:05,2025-02-10 13:20:05,0,120000,99,3,120000,,1
240000,1000,0,0,45.76.181.36,116.130.244.174,6,55558,55793,0,0,24,2025-02-10 19:17:26,2025-02-10 19:17:26,0,120000,99,3,120000,,1
104000,2000,0,0,116.128.209.135,45.76.181.36,6,3039,28089,0,0,16,2025-02-10 13:12:54,2025-02-10 13:12:54,310000,0,3,99,310000,,1
104000,2000,0,0,116.128.209.135,45.76.181.36,6,4988,9998,0,0,16,2025-02-10 15:16:18,2025-02-10 15:16:18,310000,0,3,99,310000,,1
122000,1000,0,0,45.76.181.36,116.130.244.174,6,22,55144,0,0,24,2025-02-10 18:40:05,2025-02-10 18:40:05,0,120000,99,3,120000,,1
78000,1000,0,0,45.76.181.36,116.130.244.174,6,55557,51559,0,0,24,2025-02-10 14:48:54,2025-02-10 14:48:54,0,120000,99,3,120000,,1
6056000,4000,0,0,45.76.181.36,116.128.209.135,6,9998,4982,0,0,24,2025-02-10 15:04:32,2025-02-10 15:04:33,0,310000,99,3,310000,,1
320000,2000,0,0,45.76.181.36,116.128.209.135,6,28089,3474,0,0,24,2025-02-10 14:43:17,2025-02-10 14:43:17,0,310000,99,3,,,1
322000,2000,0,0,45.76.181.36,116.128.209.135,6,28089,3039,0,0,24,2025-02-10 13:13:39,2025-02-10 13:13:39,0,310000,99,3,,,1
15140000,10000,0,0,45.76.181.36,116.128.209.135,6,9998,4985,0,0,24,2025-02-10 15:14:16,2025-02-10 15:14:17,0,310000,99,3,310000,,1
78000,1000,0,0,220.196.214.152,45.76.181.36,6,5806,9998,0,0,16,2025-02-10 19:04:02,2025-02-10 19:04:02,310000,0,3,99,310000,,1
342000,2000,0,0,116.128.209.135,45.76.181.36,6,3039,28089,0,0,24,2025-02-10 13:32:45,2025-02-10 13:32:45,310000,0,3,99,310000,,1
174000,1000,0,0,45.76.181.36,116.128.209.135,6,28089,3474,0,0,24,2025-02-10 14:46:23,2025-02-10 14:46:23,0,310000,99,3,310000,,1
3126000,3000,0,0,111.198.221.98,45.76.181.36,6,53038,22,0,0,24,2025-02-10 22:03:16,2025-02-10 22:03:16,110000,0,3,99,110000,,1
66000,1000,0,0,220.196.214.152,45.76.181.36,6,7275,28089,0,0,16,2025-02-10 19:25:16,2025-02-10 19:25:16,310000,0,3,99,310000,,1
382000,2000,0,0,116.128.209.135,45.76.181.36,6,3039,28089,0,0,24,2025-02-10 13:11:20,2025-02-10 13:11:38,310000,0,3,99,310000,,1
238000,3000,0,0,220.196.214.152,45.76.181.36,6,5805,9998,0,0,16,2025-02-10 18:57:14,2025-02-10 18:57:48,310000,0,3,99,310000,,1
3028000,2000,0,0,45.76.181.36,116.128.209.135,6,9998,4989,0,0,24,2025-02-10 18:43:36,2025-02-10 18:43:39,0,310000,99,3,310000,,1
188000,1000,0,0,116.128.209.135,45.76.181.36,6,3530,28090,0,0,24,2025-02-10 18:44:43,2025-02-10 18:44:43,310000,0,3,99,310000,,1
132000,2000,0,0,116.128.209.135,45.76.181.36,6,4987,9998,0,0,16,2025-02-10 15:15:14,2025-02-10 15:15:15,310000,0,3,99,310000,,1
78000,1000,0,0,45.76.181.36,116.130.244.174,6,55557,51559,0,0,24,2025-02-10 14:48:54,2025-02-10 14:48:54,0,120000,99,3,120000,,1
120000,2000,0,0,36.250.229.130,45.76.181.36,6,21788,22,0,0,4,2025-02-10 03:00:29,2025-02-10 03:00:29,350000,0,3,99,350000,,1
66000,1000,0,0,116.128.209.135,45.76.181.36,6,3474,28089,0,0,16,2025-02-10 15:24:17,2025-02-10 15:24:17,310000,0,3,99,310000,,1
7570000,5000,0,0,45.76.181.36,220.196.214.152,6,9998,5805,0,0,16,2025-02-10 18:56:52,2025-02-10 18:57:42,0,310000,99,3,310000,,1
66000,1000,0,0,45.76.181.36,220.196.214.152,6,28089,7275,0,0,16,2025-02-10 19:37:38,2025-02-10 19:37:38,0,310000,99,3,310000,,1
66000,1000,0,0,45.76.181.36,220.196.214.152,6,28089,7275,0,0,16,2025-02-10 20:12:52,2025-02-10 20:12:52,0,310000,99,3,310000,,1
